t,track,leaf,support_samples,centroid_x,centroid_y,peak_x,peak_y,centroid_anchor_x,centroid_anchor_y,peak_anchor_x,peak_anchor_y
25,4,3,2,56.53846153846153,0.0,48.46153846153846,0.0,63.0992445054945,3.0789117455270834,58.99806709363347,3.3623206078123915
25,11,47,2,80.76923076923077,40.38461538461539,80.76923076923077,48.46153846153846,86.10375444249654,41.70154905875594,84.77271340863233,47.00100066916138
25,8,70,3,16.153846153846153,86.15384615384615,0.0,80.76923076923077,9.593063186813186,90.11813186813185,0.4017857142857144,84.73351648351648
25,9,74,3,59.230769230769226,75.38461538461539,64.61538461538461,80.76923076923077,53.654403226154606,75.0746150034133,56.0415477824463,78.8441112964099
26,7,0,2,8.076923076923077,0.0,0.0,0.0,1.6500686813186807,0.2678571428571423,0.26785714285714396,0.2678571428571429
26,4,4,1,64.61538461538461,0.0,64.61538461538461,0.0,71.04223901098901,2.0803571428571432,68.44574175824175,2.0803571428571432
26,11,47,3,80.76923076923077,48.46153846153846,80.76923076923077,48.46153846153846,86.83365785721355,46.537443642323744,84.59958791208791,46.27508358672176
26,8,70,1,0.0,80.76923076923077,0.0,80.76923076923077,2.926854395604395,84.59958791208791,2.698529807886817,84.59958791208791
26,9,74,2,56.53846153846153,80.76923076923077,64.61538461538461,80.76923076923077,54.20037352474923,78.34597571257764,60.78502747252747,78.18324587699563
26,12,86,1,32.30769230769231,96.92307692307692,32.30769230769231,96.92307692307692,31.72893340465132,100.75343406593406,31.738544520967334,100.75343406593406
27,7,0,2,8.076923076923077,0.0,0.0,0.0,1.6500686813186807,0.26785714285714285,0.2678571428571419,0.2678571428571429
27,4,4,1,64.61538461538461,0.0,64.61538461538461,0.0,71.04223901098901,2.0803571428571432,68.44574175824175,2.0803571428571432
27,11,33,3,80.76923076923077,48.46153846153846,80.76923076923077,32.30769230769231,87.09622662142287,46.43012629319911,84.59958791208791,35.20996472326878
27,8,70,1,0.0,80.76923076923077,0.0,80.76923076923077,2.926854395604395,84.59958791208791,2.401137521486838,84.59958791208791
27,9,74,1,64.61538461538461,80.76923076923077,64.61538461538461,80.76923076923077,61.59525453506862,77.2000859559697,61.02103695544735,76.93887362637363
27,12,86,1,32.30769230769231,96.92307692307692,32.30769230769231,96.92307692307692,31.76947100460395,100.75343406593406,31.304049474199896,100.74574018875006
28,7,0,2,8.076923076923077,0.0,0.0,0.0,6.326923076923077,0.2678571428571429,0.2678571428571428,0.2678571428571429
28,4,4,3,75.38461538461539,16.153846153846153,64.61538461538461,0.0,77.13461538461539,18.171703296703296,67.07074175824175,4.098214285714286
28,11,61,1,80.76923076923077,64.61538461538461,80.76923076923077,64.61538461538461,82.51923076923077,63.76905325301964,83.22458791208791,63.41909532514005
28,9,74,1,64.61538461538461,80.76923076923077,64.61538461538461,80.76923076923077,63.30109040394078,80.09041054019698,62.75438445539687,79.36934772040507
28,8,86,5,19.384615384615383,93.6923076923077,32.30769230769231,96.92307692307692,21.134615384615383,95.71016483516483,30.019239212631337,101.02129120879121
29,7,0,2,8.076923076923077,0.0,0.0,0.0,6.326923076923077,0.26785714285714296,0.2678571428571429,0.26785714285714285
29,4,19,3,75.38461538461539,16.153846153846153,80.76923076923077,16.153846153846153,77.13461538461539,18.171703296703296,83.22458791208791,18.171703296703296
29,11,61,1,80.76923076923077,64.61538461538461,80.76923076923077,64.61538461538461,82.51923076923077,63.8779368304305,80.531450883593,64.11582013797266
29,9,74,1,64.61538461538461,80.76923076923077,64.61538461538461,80.76923076923077,63.43230856207697,80.3211421267696,63.98232267339748,80.53246927359993
29,8,86,5,19.384615384615383,93.6923076923077,32.30769230769231,96.92307692307692,21.134615384615383,95.71016483516483,30.788397376674155,98.94093406593406
30,7,0,2,8.076923076923077,0.0,0.0,0.0,3.5353708791208724,0.2678571428571429,0.2678571428571429,0.2678571428571429
30,4,19,4,76.73076923076923,12.115384615384615,80.76923076923077,16.153846153846153,81.27232142857143,14.292932908961193,83.2915521978022,17.14758560756749
30,11,61,1,80.76923076923077,64.61538461538461,80.76923076923077,64.61538461538461,79.72767857142857,63.151489078464195,80.38664851401163,63.37276752724905
30,9,74,1,64.61538461538461,80.76923076923077,64.61538461538461,80.76923076923077,63.72325145912515,79.96802777751923,63.71327873577719,80.18696202812326
30,8,85,1,16.153846153846153,96.92307692307692,16.153846153846153,96.92307692307692,18.268276483813022,99.24450549450549,17.9309668254885,99.24450549450549
30,13,87,1,48.46153846153846,96.92307692307692,48.46153846153846,96.92307692307692,47.36799025784532,97.1185344825688,47.30558006915335,97.33815432159508
31,7,0,2,8.076923076923077,0.0,0.0,0.0,5.621565934065938,0.2678571428571429,0.2678571428571429,0.2678571428571429
31,4,19,2,80.76923076923077,8.076923076923077,80.76923076923077,16.153846153846153,83.22458791208791,10.398351648351646,83.22458791208791,16.522688744561158
31,14,48,1,96.92307692307692,48.46153846153846,96.92307692307692,48.46153846153846,99.37843406593406,47.78624098709551,99.37843406593406,48.669998489561856
31,11,75,2,80.76923076923077,72.6923076923077,80.76923076923077,80.76923076923077,78.7125919921602,71.31575711960342,78.40129487293925,78.4478021978022
31,8,85,1,16.153846153846153,96.92307692307692,16.153846153846153,96.92307692307692,17.860492516237787,99.24450549450549,17.46387781784959,99.24450549450549
31,13,87,1,48.46153846153846,96.92307692307692,48.46153846153846,96.92307692307692,46.928079643044676,98.10164835164835,46.555148882947165,98.10164835164835
32,7,0,2,8.076923076923077,0.0,0.0,0.0,5.621565934065934,0.2678571428571432,0.2678571428571423,0.267857142857143
32,4,5,1,80.76923076923077,0.0,80.76923076923077,0.0,83.22458791208791,2.9310053062273598,84.73351648351648,3.573608474375195
32,14,48,2,96.92307692307692,40.38461538461539,96.92307692307692,48.46153846153846,99.37843406593406,40.34053161801081,100.88736263736263,46.45621816331297
32,11,75,2,80.76923076923077,72.6923076923077,80.76923076923077,80.76923076923077,78.31387362637363,71.24668417464062,76.80494505494507,77.22986084091086
