scene,angle,reference_weight,method,calibration,projection_span,tau_max,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
advection_diffusion,0.0,0.25,RA-MTM,fixed_reference,120.0,13.153983784997664,0.08821426900349014,0.11776379165539327,0.0013976100506606316,0.0005485694726816318,0.0005629332442055664,3.9394485937260806e-17,3.9660115469519753e-17,,0.3914814153837105,0.08620840661782417,0.217862555175671
advection_diffusion,0.0,1.0,RA-MTM,fixed_reference,120.0,13.153983784997664,0.08103803963975252,0.11695853910712246,0.0009978831623876042,0.00011209412345536555,0.0004262300490984426,3.9394485937260806e-17,3.9660115469519753e-17,,0.39687750570859803,0.07068275915795645,0.217862555175671
advection_diffusion,0.0,4.0,RA-MTM,fixed_reference,120.0,13.153983784997664,0.06875601134602739,0.11695853910712246,0.0009335129114602384,4.939264681045922e-05,0.00038466060705479277,3.9394485937260806e-17,3.9660115469519753e-17,,0.41413002784114006,0.06806827992381344,0.217862555175671
advection_diffusion,0.0,,TMTM,first_frame_affine,120.0,,0.22166968164318682,0.28168667151490995,0.032896527748350696,0.032896527748350696,0.0031112721369030206,7.12429247540225e-17,6.808789643208968e-17,,0.8505972351177171,0.3918682334534284,0.8152525882059329
advection_diffusion,0.0,,ST-MTM,first_frame_affine,120.0,,0.07978619580414106,0.19727149742995737,0.034000341145719114,0.034000341145719114,0.0032211628929076992,0.021966358158224918,0.021966358168445915,,0.45471169831094616,0.3956807946994994,0.6910960027141861
advection_diffusion,30.0,0.25,RA-MTM,fixed_reference,163.92304845413264,24.522431097650013,0.11479875913849413,0.15491395394502758,0.0006444380979108629,0.00028376640421815154,0.0002778215196765604,3.9394485937260806e-17,3.9660115469519753e-17,,0.38981083293311747,0.05967938241029995,0.18726111186192895
advection_diffusion,30.0,1.0,RA-MTM,fixed_reference,163.92304845413264,24.522431097650013,0.09919375403372381,0.15491395394502758,0.0007930137775009774,0.00013358453051842028,0.0002900302391119207,3.9394485937260806e-17,3.9660115469519753e-17,,0.39978420930277536,0.06533161755939206,0.18726111186194316
advection_diffusion,30.0,4.0,RA-MTM,fixed_reference,163.92304845413264,24.522431097650013,0.08498443457032995,0.15491395394502758,0.0007272917465688316,7.139959423303829e-05,0.0002622462589372375,3.9394485937260806e-17,3.9660115469519753e-17,,0.41829935232482485,0.06291765746058622,0.18726111186194316
advection_diffusion,30.0,,TMTM,first_frame_affine,163.92304845413264,,0.1451332012877181,0.20873991072604903,0.02312813731564475,0.02312813731564475,0.002183847026647538,4.9651038488973674e-17,1.2535545518277403e-16,,0.6320665186190062,0.38790533845513103,0.8222213443918989
advection_diffusion,30.0,,ST-MTM,first_frame_affine,163.92304845413264,,0.09911426493474963,0.20350187117689328,0.025219098056190162,0.02521909805619016,0.0023914142233859154,0.021966358158224928,0.021966358168445922,,0.4784609414611896,0.40130032814843325,0.6804596826897438
advection_diffusion,60.0,0.25,RA-MTM,fixed_reference,163.92304845413264,20.159716174311768,0.09619687188789434,0.1288934608102946,0.0003858692148518153,6.940863707518282e-05,0.00026319391215133916,3.9394485937260806e-17,3.9660115469519753e-17,,0.4036061301163772,0.05417530306964203,0.13115486742977112
