scene,mode,t,feature,q,x,width,true_measure
growth,Full,0,0,35.7,35.70000000006734,11.52,192
growth,Full,0,1,72.20000000000002,72.19999999993269,10.26,171
growth,Full,1,0,35.7,35.69999966526537,11.52,192
growth,Full,1,1,73.0,73.00000007612097,10.74,179
growth,Full,2,0,35.7,35.69999973835534,11.52,192
growth,Full,2,1,73.9,73.89999998584621,11.28,188
growth,Full,3,0,35.7,35.69999981265306,11.52,192
growth,Full,3,1,74.70000000000002,74.69999993750619,11.76,196
growth,Full,4,0,35.7,35.69999985775825,11.52,192
growth,Full,4,1,75.49999999999999,75.49999992407892,12.24,204
growth,Full,5,0,35.7,35.699999886348955,11.52,192
growth,Full,5,1,76.4,76.39999992505692,12.78,213
growth,Full,6,0,35.7,35.699999904462985,11.52,192
growth,Full,6,1,77.20000000000002,77.19999993100257,13.26,221
growth,Full,7,0,35.7,35.69999991511384,11.52,192
growth,Full,7,1,78.1,78.09999993251924,13.799999999999999,230
growth,Full,8,0,35.7,35.69999991939426,11.52,192
growth,Full,8,1,78.9,78.89999992773396,14.28,238
growth,Full,9,0,35.7,35.69999991528489,11.52,192
growth,Full,9,1,79.80000000000001,79.79999991289841,14.82,247
growth,Full,10,0,35.7,35.69999990137828,11.52,192
growth,Full,10,1,80.60000000000001,80.59999988828658,15.299999999999999,255
growth,RelativeWidth,0,0,35.7,35.70000000006734,11.52,192
growth,RelativeWidth,0,1,72.20000000000002,72.19999999993269,10.26,171
growth,RelativeWidth,1,0,35.7,35.699999636513795,11.271590296495955,192
growth,RelativeWidth,1,1,73.0,73.0000001400214,10.508409703504041,179
growth,RelativeWidth,2,0,35.7,35.69999809672603,11.004631578947368,192
growth,RelativeWidth,2,1,73.9,73.89999914580274,10.775368421052631,188
growth,RelativeWidth,3,0,35.7,35.69999853073583,10.777731958762885,192
growth,RelativeWidth,3,1,74.70000000000002,74.69999876866385,11.002268041237114,196
growth,RelativeWidth,4,0,35.7,35.699998685894045,10.559999999999999,192
growth,RelativeWidth,4,1,75.49999999999999,75.49999888978805,11.219999999999999,204
growth,RelativeWidth,5,0,35.7,35.69999837889839,10.325333333333331,192
growth,RelativeWidth,5,1,76.4,76.39999925926678,11.454666666666665,213
growth,RelativeWidth,6,0,35.7,35.699998731045746,10.125326876513316,192
growth,RelativeWidth,6,1,77.20000000000002,77.19999890711942,11.654673123486681,221
growth,RelativeWidth,7,0,35.7,35.69999697928303,9.909383886255924,192
growth,RelativeWidth,7,1,78.1,78.09999774481831,11.870616113744077,230
growth,RelativeWidth,8,0,35.7,35.699991592984034,9.725023255813952,192
growth,RelativeWidth,8,1,78.9,78.89999357086667,12.054976744186046,238
growth,RelativeWidth,9,0,35.7,35.69999192782812,9.525649202733485,192
growth,RelativeWidth,9,1,79.80000000000001,79.79999254171418,12.254350797266515,247
growth,RelativeWidth,10,0,35.7,35.6999905937528,9.355167785234901,192
growth,RelativeWidth,10,1,80.60000000000001,80.599991326965,12.4248322147651,255
growth,OldTime,0,0,35.7,35.70000000006734,11.52,192
growth,OldTime,0,1,72.20000000000002,72.19999999993269,10.26,171
growth,OldTime,1,0,35.7,35.38000000001348,11.52,192
growth,OldTime,1,1,73.0,72.51999999998655,10.74,179
growth,OldTime,2,0,35.7,34.95600003069744,11.52,192
growth,OldTime,2,1,73.9,72.94399969243985,11.28,188
growth,OldTime,3,0,35.7,34.78533334356581,11.52,192
growth,OldTime,3,1,74.70000000000002,73.70000000000002,11.76,196
growth,OldTime,4,0,35.7,34.72844444785527,11.52,192
growth,OldTime,4,1,75.49999999999999,74.49999999999999,12.24,204
growth,OldTime,5,0,35.7,34.70948148261843,11.52,192
growth,OldTime,5,1,76.4,75.4,12.78,213
growth,OldTime,6,0,35.7,34.703160494206145,11.52,192
growth,OldTime,6,1,77.20000000000002,76.20000000000002,13.26,221
growth,OldTime,7,0,35.7,34.701013742683976,11.52,192
growth,OldTime,7,1,78.1,77.1,13.799999999999999,230
growth,OldTime,8,0,35.7,34.70032482049998,11.52,192
growth,OldTime,8,1,78.9,77.9,14.28,238
growth,OldTime,9,0,35.7,34.70010396112327,11.52,192
growth,OldTime,9,1,79.80000000000001,78.80000000000001,14.82,247
growth,OldTime,10,0,35.7,34.70000010396112,11.52,192
growth,OldTime,10,1,80.60000000000001,79.60000000000001,15.299999999999999,255
growth,NoTime,0,0,35.7,35.70000000006734,11.52,192
growth,NoTime,0,1,72.20000000000002,72.19999999993269,10.26,171
growth,NoTime,1,0,35.7,35.70000000016189,11.52,192
growth,NoTime,1,1,73.0,72.99999999983811,10.74,179
growth,NoTime,2,0,35.7,35.70000000042044,11.52,192
growth,NoTime,2,1,73.9,73.89999999957956,11.28,188
growth,NoTime,3,0,35.7,35.700000000953736,11.52,192
growth,NoTime,3,1,74.70000000000002,74.69999999904628,11.76,196
growth,NoTime,4,0,35.7,35.700000002105305,11.52,192
growth,NoTime,4,1,75.49999999999999,75.49999999789469,12.24,204
growth,NoTime,5,0,35.7,35.7000000049681,11.52,192
growth,NoTime,5,1,76.4,76.3999999950319,12.78,213
growth,NoTime,6,0,35.7,35.700000010360526,11.52,192
growth,NoTime,6,1,77.20000000000002,77.1999999896395,13.26,221
growth,NoTime,7,0,35.7,35.700000022959976,11.52,192
growth,NoTime,7,1,78.1,78.09999997704003,13.799999999999999,230
growth,NoTime,8,0,35.7,35.70000004533689,11.52,192
growth,NoTime,8,1,78.9,78.89999995466312,14.28,238
growth,NoTime,9,0,35.7,35.70000009464345,11.52,192
growth,NoTime,9,1,79.80000000000001,79.79999990535657,14.82,247
growth,NoTime,10,0,35.7,35.70000017751843,11.52,192
growth,NoTime,10,1,80.60000000000001,80.59999982248158,15.299999999999999,255
collective_growth,Full,0,0,22.099999999999998,22.100002486210563,4.68,78
collective_growth,Full,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
collective_growth,Full,0,2,59.199999999999996,59.20000914035453,5.46,91
collective_growth,Full,1,0,21.599999999999998,21.600000355172938,4.859999999999999,81
collective_growth,Full,1,1,38.199999999999996,38.19999833906213,4.9799999999999995,83
collective_growth,Full,1,2,59.800000000000004,59.800001305764944,5.58,93
collective_growth,Full,2,0,21.0,21.00000005073899,4.9799999999999995,83
collective_growth,Full,2,1,38.1,38.099999762723165,5.16,86
collective_growth,Full,2,2,60.4,60.40000018653785,5.819999999999999,97
collective_growth,Full,3,0,20.6,20.600000007248433,5.1,85
collective_growth,Full,3,1,38.1,38.09999996610331,5.279999999999999,88
collective_growth,Full,3,2,60.99999999999999,61.000000026648266,5.9399999999999995,99
collective_growth,Full,4,0,19.900000000000002,19.900000001035497,5.279999999999999,88
collective_growth,Full,4,1,38.0,37.99999999515762,5.46,91
collective_growth,Full,4,2,61.5,61.500000003806896,6.12,102
collective_growth,Full,5,0,19.5,19.50000000014793,5.3999999999999995,90
collective_growth,Full,5,1,38.0,37.99999999930824,5.58,93
collective_growth,Full,5,2,62.09999999999999,62.10000000054383,6.24,104
collective_growth,Full,6,0,18.9,18.899931462106178,5.52,92
collective_growth,Full,6,1,37.9,37.899923370885396,5.76,96
collective_growth,Full,6,2,62.7,62.699919627465945,6.4799999999999995,108
collective_growth,Full,7,0,18.4,18.399930608322798,5.7,95
collective_growth,Full,7,1,37.9,37.89993015369878,5.88,98
collective_growth,Full,7,2,63.2,63.19992961895397,6.54,109
collective_growth,Full,8,0,17.8,17.799930195753422,5.819999999999999,97
collective_growth,Full,8,1,37.800000000000004,37.799930130807134,6.06,101
collective_growth,Full,8,2,63.800000000000004,63.799930054415015,6.779999999999999,113
collective_growth,Full,9,0,17.3,17.29993013681493,6.0,100
collective_growth,Full,9,1,37.800000000000004,37.799930127536896,6.18,103
collective_growth,Full,9,2,64.4,64.39993011662372,6.8999999999999995,115
collective_growth,Full,10,0,16.7,16.699930128395142,6.12,102
collective_growth,Full,10,1,37.699999999999996,37.6999301270697,6.359999999999999,106
collective_growth,Full,10,2,65.0,64.99993012551067,7.14,119
collective_growth,RelativeWidth,0,0,22.099999999999998,22.100002486210563,4.68,78
collective_growth,RelativeWidth,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
collective_growth,RelativeWidth,0,2,59.199999999999996,59.20000914035453,5.46,91
collective_growth,RelativeWidth,1,0,21.599999999999998,21.60000035517294,4.727626459143969,81
collective_growth,RelativeWidth,1,1,38.199999999999996,38.19999833906213,4.844357976653696,83
collective_growth,RelativeWidth,1,2,59.800000000000004,59.800001305764944,5.428015564202334,93
collective_growth,RelativeWidth,2,0,21.0,21.000000050738993,4.680451127819549,83
collective_growth,RelativeWidth,2,1,38.1,38.099999762723165,4.849624060150376,86
collective_growth,RelativeWidth,2,2,60.4,60.40000018653785,5.469924812030075,97
collective_growth,RelativeWidth,3,0,20.6,20.600000007248436,4.6875,85
collective_growth,RelativeWidth,3,1,38.1,38.09999996610332,4.852941176470588,88
collective_growth,RelativeWidth,3,2,60.99999999999999,61.00000002664826,5.459558823529411,99
collective_growth,RelativeWidth,4,0,19.900000000000002,19.900000001035497,4.697508896797152,88
collective_growth,RelativeWidth,4,1,38.0,37.99999999515762,4.857651245551601,91
collective_growth,RelativeWidth,4,2,61.5,61.500000003806896,5.444839857651246,102
collective_growth,RelativeWidth,5,0,19.5,19.50000000014793,4.70383275261324,90
collective_growth,RelativeWidth,5,1,38.0,37.99999999930824,4.860627177700348,93
collective_growth,RelativeWidth,5,2,62.09999999999999,62.10000000054383,5.43554006968641,104
collective_growth,RelativeWidth,6,0,18.9,18.900000000021134,4.662162162162162,92
collective_growth,RelativeWidth,6,1,37.9,37.899999999901176,4.864864864864865,96
