scene,method,distance_nrmse,reference_nmae,trajectory_nmae,growth_log_mae,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
gaussian2d_local_growth,RA-MTM,0.19835930186778392,0.008333333333333333,0.0,4.5883435939586546e-17,0.008354212468168363,0.008557909024292758,0.00018714731265646328,9.771249013203045e-05,0.00010600357958529402,0.0033164472070297186,0.0018265568655763543,
gaussian2d_hierarchy_change,TMTM,0.646469109182452,0.31246982623937775,0.15711898717739667,5.299580219109146e-17,0.31246982623937775,0.4490616546288786,0.15711898717739667,0.013286619630722722,0.014183743777418876,5.299580219109146e-17,7.355227538141662e-17,
gaussian2d_hierarchy_change,ST-MTM,0.2460030768356453,0.07774442298519427,0.08998567143249692,0.6079385421020255,0.07779078671290703,0.15493098306509298,0.09007663997065504,0.01745319181989176,0.007368453737965386,0.607739209145628,0.6075427348770419,
gaussian2d_hierarchy_change,RA-MTM,0.2963623976008895,0.015173496791737852,0.07959678060860656,5.837344496661956e-17,0.015199188127572687,0.09764736451103227,0.07969549264696343,0.015623825694846093,0.0045002253420463436,0.001957721968236029,0.000745738561763943,
gaussian2d_crowding,TMTM,0.7629342049940394,0.030682469682648282,0.029661113791298318,7.172358771715773e-17,0.030682469682648282,0.06221238190183178,0.029661113791298318,0.029661113791298318,0.0028439833350918952,7.172358771715773e-17,6.908536243077635e-17,
gaussian2d_crowding,ST-MTM,0.00047653760970788235,0.1647429974733468,0.03026086126604576,0.02592786272138896,0.16474007460241882,0.281908435270873,0.03006403265411206,0.030064032654112064,0.0028821556195488397,0.02509575439280825,0.025043344596817528,
gaussian2d_crowding,RA-MTM,0.7246482228087914,0.008673364382580435,0.0004250341841041906,4.1561083278611e-17,0.008677261540813573,0.011383271027841433,0.0005430386853928443,8.099398380270826e-05,0.00039109128264352457,0.0020907264770080518,0.0012245145003833822,
gaussian2d_advection_diffusion,TMTM,0.5798682710407316,0.2214624507743703,0.030671150804810036,4.299945816077511e-17,0.2214624507743703,0.4183505313152111,0.030671150804810036,0.030671150804810036,0.002889723498968306,4.299945816077511e-17,5.73759789679329e-17,
gaussian2d_advection_diffusion,ST-MTM,0.3832416194281321,0.1116451373193583,0.03400034114571917,0.02196635815822493,0.11161252858331834,0.17535728734084252,0.0339385311222777,0.0339385311222777,0.0032088008882194185,0.018904690615143376,0.01892370450056256,
gaussian2d_advection_diffusion,RA-MTM,0.39687750570859803,0.08103803963975252,0.0009978831623876042,3.9394485937260806e-17,0.08102904865528873,0.11683610809308895,0.0010268167420658572,0.0001803318623463144,0.00048626824594283233,0.0009991226330359898,0.00040425849147534274,
gaussian2d_hierarchy_change_seed1,TMTM,0.6665794507015654,0.12938522009237552,0.05480712346565319,4.90059381963448e-17,0.12938522009237552,0.2379361959468998,0.05480712346565319,0.02521920457300173,0.006955544852197666,4.90059381963448e-17,6.938893903907228e-17,
gaussian2d_hierarchy_change_seed1,ST-MTM,0.2514263933327229,0.0778545612719955,0.06815100707882175,0.6101838549796226,0.07783149629516105,0.1576164365217107,0.06822373165725557,0.017370905378688548,0.00658667622467737,0.611039244311701,0.611254280928355,
gaussian2d_hierarchy_change_seed1,RA-MTM,0.2898269412245349,0.008126891086343466,0.0006622086215148319,5.108760636751697e-17,0.008113603322461216,0.008519702299695479,0.0008171257460708496,0.0007307203041027595,0.00036995764707120887,0.002402706503408494,0.0011258550990363536,
gaussian2d_hierarchy_change_seed2,TMTM,0.6638294861680373,0.30489852459266686,0.1497687121680328,3.872770160118222e-17,0.30489852459266686,0.4375542714797278,0.1497687121680328,0.01764693608042926,0.013243356642187997,3.872770160118222e-17,8.673617379884035e-17,
gaussian2d_hierarchy_change_seed2,ST-MTM,0.2368810042081984,0.0754752382026784,0.08661649304927257,0.625446403594459,0.07548507308910718,0.14755517304535293,0.0870722068188968,0.017734119009912005,0.007051063100805497,0.6283905650734328,0.6284472303252773,
gaussian2d_hierarchy_change_seed2,RA-MTM,0.2879372451736118,0.014725772050514445,0.07512410075747694,6.075868974608767e-17,0.01472749299443327,0.09318247057170052,0.07505346266508835,0.014585647622532246,0.004250150962864946,0.0020571448420269394,0.0007605904311779581,
gaussian2d_hierarchy_change_seed3,TMTM,0.6627017802296747,0.12953187934774818,0.1352730336623266,5.733261088103347e-17,0.12953187934774818,0.21814332951251025,0.1352730336623266,0.011580930763146622,0.011756416793307328,5.733261088103347e-17,6.279698983036042e-17,
gaussian2d_hierarchy_change_seed3,ST-MTM,0.24560511198812682,0.0765509833312384,0.08874302598550474,0.5906210896801296,0.076586940831121,0.15717300158599562,0.0884695848062056,0.017999280477318136,0.007307853801729467,0.591283834768188,0.5911709369893418,
gaussian2d_hierarchy_change_seed3,RA-MTM,0.28921397055853837,0.011655789117744352,0.08430558042307225,3.86843335142828e-17,0.011626132072226517,0.008568146824779996,0.08430371514775006,0.01671827995145374,0.004524357342263276,0.001811287286505534,0.0010054661776211743,
gaussian2d_crowding_seed1,TMTM,0.7640518678048556,0.031219546410656083,0.030789186926514823,4.557263131680737e-17,0.031219546410656083,0.061539495429266,0.030789186926514823,0.030789186926514823,0.0029346009653106572,4.557263131680737e-17,9.115971866258121e-17,
gaussian2d_crowding_seed1,ST-MTM,0.000394033392188482,0.16039451297829663,0.031223214704292575,0.026066828781207217,0.16039100758066044,0.2800916501947363,0.031275541453537316,0.031275541453537316,0.0029511449408883643,0.023345507442113465,0.023036515705374357,
gaussian2d_crowding_seed1,RA-MTM,0.7257756380486048,0.0070418933379401355,0.0002572365588822794,5.79469921121086e-17,0.007056282934367134,0.008742043784240507,0.0003848461440164671,0.00027788676031805496,0.00035859362871409276,0.0027970197447031242,0.0022530906517329026,
gaussian2d_crowding_seed2,TMTM,0.7556799047194389,0.03174994662991287,0.030038926178116414,7.207776042683633e-17,0.03174994662991287,0.06567135296309949,0.030038926178116414,0.030023646795524616,0.0029489168771865268,7.207776042683633e-17,8.649764932089354e-17,
gaussian2d_crowding_seed2,ST-MTM,0.0006946329158545624,0.16863452138244797,0.03023671497734269,0.04134337973631801,0.1686106537429846,0.2775681106696181,0.030342207819595627,0.030342207819595627,0.002938738812093843,0.040826240733592686,0.04119698150868035,
gaussian2d_crowding_seed2,RA-MTM,0.7217533045606428,0.008344741266998404,1.1978330348322668e-05,5.799758821349124e-17,0.008327969902584723,0.008552887038954548,0.00015592253100528018,0.00010820141793715658,0.00015532677398355805,0.0021275320261323247,0.0013291829188313647,
gaussian2d_crowding_seed3,TMTM,0.7668479954700708,0.0328771923900442,0.03146289672010684,4.787836793695988e-17,0.0328771923900442,0.06515609575620106,0.03146289672010684,0.03146289672010684,0.0029632274974839353,4.787836793695988e-17,1.029558382992235e-16,
gaussian2d_crowding_seed3,ST-MTM,0.0008293076876359283,0.16716349467577515,0.03125771995243004,0.033494808402454404,0.16713905304336313,0.2835538765997371,0.03135024234363095,0.03135024234363094,0.002954152371221313,0.03216575722187999,0.03237826948446375,
gaussian2d_crowding_seed3,RA-MTM,0.7243629356124783,0.009192058227718413,0.0009016611391043345,3.9002366151545214e-17,0.009203403986851214,0.013743500942145302,0.000985895440838778,0.00017615192439075599,0.00048146216402768514,0.0026304339735823594,0.000993747565636764,
gaussian2d_advection_diffusion_seed1,TMTM,0.5614694035342014,0.08943277205897229,0.032847332906235316,4.3156667475785505e-17,0.08943277205897229,0.14521626176014338,0.032847332906235316,0.03284733290623531,0.003003094172316884,4.3156667475785505e-17,5.204170427930421e-17,
gaussian2d_advection_diffusion_seed1,ST-MTM,0.36798843341552734,0.1037871279946461,0.03371736131532617,0.03252792971772576,0.10374384036965344,0.22844591095465877,0.033575345358265306,0.03357534535826531,0.0031795775701598315,0.03154509871478843,0.03137456217613903,
gaussian2d_advection_diffusion_seed1,RA-MTM,0.3873730295998554,0.008333333333333333,0.0,4.322171960613463e-17,0.008343840592092235,0.008570053696481023,0.00019546717851497088,0.00018047807155484042,0.0001804231663773026,0.0013862757601671664,0.00040459757601890995,
gaussian2d_advection_diffusion_seed2,TMTM,0.596260219213293,0.22010471741673496,0.03278518047124672,5.952269926945419e-17,0.22010471741673496,0.41253430217248127,0.03278518047124672,0.032785180471246726,0.0031203840972178812,5.952269926945419e-17,7.305354238207328e-17,
