scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.6,0.8,4.0,3,1.3051284200643778,5.305128420064378,5.305128420064378,0.8250874985317989,0.6322731324471786,0.6773983671051236,0.0
0.6,0.8,4.0,4,1.2985072126337514,5.298507212633751,5.298507212633751,0.8248227744932484,0.6313504502939117,0.676559285344393,6.639766070293263e-09
0.6,0.8,4.0,5,1.5868003680230771,5.586800368023077,5.586800368023077,0.8314434168877229,0.627132221663721,0.6746967273777418,0.0
0.6,0.8,4.0,6,1.8338425727739747,5.833842572773975,5.833842572773975,0.8379995048978837,0.6243584581664327,0.6739692557464546,0.0
0.6,0.8,4.0,7,1.9503224511787494,5.950322451178749,5.950322451178749,0.8417712709189642,0.6250656959258921,0.675229301416624,0.0
0.6,0.8,4.0,8,2.0100808587249333,6.010080858724933,6.010080858724933,0.8439279211027326,0.6244115047809248,0.6751892863930757,0.0
0.6,0.8,4.0,9,2.225822679924235,6.225822679924235,6.225822679924235,0.8497853611203279,0.6226817618209982,0.6750269173863954,0.0
0.6,0.8,4.0,10,2.305400325980216,6.305400325980216,6.305400325980216,0.8510611713580781,0.6205741724157905,0.6736943100722187,1.944285395438783e-05
0.6,0.8,4.0,11,2.2531752950643664,6.253175295064366,6.253175295064366,0.8502438026236938,0.6225889706703479,0.6751854758437601,1.942716539815592e-05
0.6,0.8,4.0,12,2.323451480322973,6.323451480322973,6.323451480322973,0.8522825272067821,0.6212124918399925,0.6743908183891464,1.918277689583192e-05
0.6,0.8,4.0,13,2.5194639008620783,6.519463900862078,6.519463900862078,0.8568690711337391,0.6188543170144749,0.6735495002859864,1.9235046011090162e-05
0.6,0.8,4.0,14,2.762776583473155,6.762776583473155,6.762776583473155,0.8633961548731824,0.6160450378478066,0.6727659164698845,1.914502058752987e-05
0.6,0.8,4.0,15,2.8592470366379104,6.85924703663791,6.85924703663791,0.8668977604963352,0.6169055055450743,0.6741137664348853,1.8817600448528538e-05
0.6,0.8,4.0,16,3.0122823978976356,7.012282397897636,7.012282397897636,0.8703530644200271,0.6145747939691754,0.6729543619141886,1.9814006918750238e-05
0.6,0.8,4.0,17,3.201075851797654,7.201075851797654,7.201075851797654,0.8758427585927213,0.6135228764328038,0.6731723909986594,1.876976557468879e-05
0.6,0.8,4.0,18,3.276274102249971,7.276274102249971,7.276274102249971,0.8775963522218946,0.6119746354196156,0.6722947265854309,1.9354921732883668e-05
0.6,0.8,4.0,19,3.2306334705694297,7.23063347056943,7.23063347056943,0.8772638741215494,0.6139182585297792,0.6739178707771537,2.0148878547843196e-05
0.6,0.8,4.0,20,3.296216972907729,7.296216972907729,7.296216972907729,0.8785612151394935,0.6125584707912597,0.6730451892849463,1.9867453829647275e-05
0.3,0.9,0.0,0,4.123244863013696,4.123244863013696,4.123244863013696,0.9024322828313109,0.749625304793877,0.7861712004610435,0.0
0.3,0.9,0.0,1,4.279926586255179,4.279926586255179,4.279926586255179,0.9060504572213288,0.7469526346655928,0.7848050627100855,0.0
0.3,0.9,0.0,2,4.41582972774048,4.41582972774048,4.41582972774048,0.9099840611912592,0.7457000483670763,0.7848096836680212,0.0
0.3,0.9,0.0,3,4.573948984411906,4.573948984411906,4.573948984411906,0.9147868454446554,0.7447454055413609,0.7851818419607698,0.0
0.3,0.9,0.0,4,4.6406970895922655,4.6406970895922655,4.6406970895922655,0.9167497261855015,0.745025355424539,0.7858567179583802,0.0
0.3,0.9,0.0,5,4.634075882161653,4.634075882161653,4.634075882161653,0.9170586303822316,0.7450704053299713,0.7859011130144021,0.0
0.3,0.9,0.0,6,4.586620774077986,4.586620774077986,4.586620774077986,0.9146107110746502,0.7442291723703205,0.7847179753531421,0.0
0.3,0.9,0.0,7,4.723247466216208,4.723247466216208,4.723247466216208,0.9184956671259872,0.7431360760698367,0.7846881917818795,0.0
0.3,0.9,0.0,8,4.789322431267479,4.789322431267479,4.789322431267479,0.9203440743638651,0.7427193149215612,0.7849354451904348,0.0
0.3,0.9,0.0,9,4.833071157094594,4.833071157094594,4.833071157094594,0.9222252619690705,0.7425981726198037,0.7852298657330302,0.0
0.3,0.9,0.0,10,5.031823837485376,5.031823837485376,5.031823837485376,0.9265666580955992,0.7395420224731897,0.783779135136525,0.0004212237456613366
0.3,0.9,0.0,11,5.0805101799242465,5.0805101799242465,5.0805101799242465,0.9278510268471196,0.7394391988184669,0.7839832385585462,0.0
0.3,0.9,0.0,12,5.125876108303842,5.125876108303842,5.125876108303842,0.9289693536839092,0.7383745743576261,0.783363963802624,0.0
0.3,0.9,0.0,13,5.004101562500011,5.004101562500011,5.004101562500011,0.9272567377609753,0.742018789657658,0.7859270023718253,0.0
0.3,0.9,0.0,14,4.9532310953993175,4.9532310953993175,4.9532310953993175,0.924862974226275,0.7411444840075366,0.7846810480912787,0.0
0.3,0.9,0.0,15,5.17929067460318,5.17929067460318,5.17929067460318,0.9305348189407395,0.7380002324912512,0.783484026000332,0.0
0.3,0.9,0.0,16,5.344541386385416,5.344541386385416,5.344541386385416,0.935678249401882,0.7371074630144367,0.783951424229404,0.0
0.3,0.9,0.0,17,5.509579057497675,5.509579057497675,5.509579057497675,0.9412444806467033,0.7373095166059418,0.785282628554154,0.0
0.3,0.9,0.0,18,5.5165256835178695,5.5165256835178695,5.5165256835178695,0.939926701181834,0.7357691639814938,0.7837895940374848,0.0
0.3,0.9,0.0,19,5.357221554487182,5.357221554487182,5.357221554487182,0.9354629326341335,0.7370169258313374,0.7838605388122803,0.0
0.3,0.9,0.0,20,5.43606072290774,5.43606072290774,5.43606072290774,0.9377687045890988,0.7362726614147651,0.7837890092014261,0.0
0.3,0.9,1.0,0,4.123244863013696,5.123244863013696,5.123244863013696,0.9024322828313109,0.7133324203843168,0.7580074688704421,0.0
0.3,0.9,1.0,1,4.279926586255179,5.279926586255179,5.279926586255179,0.9060504572213288,0.710588364050136,0.7565353436750267,0.0
0.3,0.9,1.0,2,4.41582972774048,5.41582972774048,5.41582972774048,0.9099840611912592,0.7093329286798657,0.7565049548228342,0.0
0.3,0.9,1.0,3,4.573948984411906,5.573948984411906,5.573948984411906,0.9147868454446554,0.7084360845731349,0.7568836794863798,2.2737367544323206e-13
0.3,0.9,1.0,4,4.6406970895922655,5.6406970895922655,5.6406970895922655,0.9167497261855015,0.7088913217351617,0.7576858690849211,0.0
0.3,0.9,1.0,5,4.634075882161653,5.634075882161653,5.634075882161653,0.9170586303822316,0.7088327660940369,0.7576440854096876,0.0
0.3,0.9,1.0,6,4.586620774077986,5.586620774077986,5.586620774077986,0.9146107110746502,0.7079507904423344,0.7564396516387464,0.0
0.3,0.9,1.0,7,4.723247466216208,5.723247466216208,5.723247466216208,0.9184956671259872,0.7069076960814623,0.7564105803529939,0.0
0.3,0.9,1.0,8,4.789322431267479,5.789322431267479,5.789322431267479,0.9203440743638651,0.7065375747897583,0.7566860685767728,0.0
0.3,0.9,1.0,9,4.833071157094594,5.833071157094594,5.833071157094594,0.9222252619690705,0.7063522838736432,0.7569149355521515,0.0
0.3,0.9,1.0,10,5.031823837485376,6.031823837485376,6.031823837485376,0.9265666580955992,0.7033412219668711,0.7554401052121822,0.0
0.3,0.9,1.0,11,5.0805101799242465,6.0805101799242465,6.0805101799242465,0.9278510268471196,0.703326774511183,0.7557042357799005,0.0
