scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
translation_growth,RelativeWidth,defined,11,1.939660880773972e-06,1.0731619172569632e-07,7.678535264924828e-06,0.1512926727506808,1.2809933910043942e-07,1.409938614079978e-14,,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.05376012506894767,1.6163840673116434e-08,3.321009688287783e-08,3.4843971934921884e-09,1.9667623934398964e-09,8.94301597714136e-10,0.15106280378349168,0.1510628037834917,,,,,,,,,
translation_growth,OldTime,defined,11,0.11187448146725786,0.018838882748058103,0.018845479756085956,3.364312195833808e-17,0.0017728026882006763,2.4241906887207603e-09,,0,0.0,0.0003710955878446498,0.0,-0.8295888402260516,0.055325709050521255,0.0009322873455604821,0.0014056626719465251,0.0010255236334779146,0.0010255236334779146,0.00015699068956715086,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,NoTime,defined,11,2.6623212276371593e-06,1.582905178783752e-07,9.584423280154889e-06,3.364312195833808e-17,1.7878220311731972e-07,2.503362514121755e-14,,0,0.0,0.00035362953616413506,0.0,-0.9999945307097136,0.060944167082197964,2.2186010230309662e-08,4.282630458855389e-08,3.849810976674916e-09,2.2267859437855954e-09,1.31908764898646e-09,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,NoReferencePenalty,defined,11,0.0007558673720525934,0.00022022335806800206,0.0007941902940737341,3.364312195833808e-17,2.7949548115156483e-06,4.3651824005885854e-12,,0,0.0,0.0041965283402873865,0.0,-0.9986804772789384,0.05636950000189245,6.298894767104945e-06,1.0839911966892639e-05,6.923259131038269e-06,6.923259131038269e-06,1.8351946505666838e-06,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,ReferenceOnly,defined,11,2.5748561532082297e-12,3.728217734533246e-12,3.8499573899268093e-13,3.364312195833808e-17,2.4289472084974506e-13,4.060953282160502e-26,,0,0.0,1.1155520951433573e-11,0.0,-0.9999999999886029,0.05408299993723631,2.145713461006858e-14,8.5229601154424e-14,2.4216678045579306e-14,4.243519116345043e-17,3.1068481121110384e-14,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,LegacyObjective,defined,11,3.306497156849921e-05,8.91441624576809e-06,9.690018126976933e-05,3.364312195833808e-17,1.730015710521203e-07,2.619867585942865e-14,,0,0.0,0.0004826130085433533,0.0,-0.9999196274659425,0.05785954208113253,2.755414297374934e-07,6.073356122489789e-07,3.267794445418717e-07,2.955599001344369e-07,7.428680204806742e-08,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,TightBudget,defined,11,0.0,0.0,1.1013412404281553e-14,3.364312195833808e-17,0.0,0.0,,0,0.0,1.4210854715202004e-14,0.0,0.0,0.03708725003525615,0.0,0.0,0.0,0.0,0.0,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
translation_growth,LooseBudget,defined,11,1.7583050188904686e-07,3.387844940287247e-07,5.066480865304849e-06,3.364312195833808e-17,2.305757772772943e-08,3.6263517792735336e-16,,0,0.0,2.0568521179598065e-05,0.0,-119.99999812597872,0.1656250839587301,1.4652541824087238e-09,6.268247041418809e-09,1.7263795459854237e-09,6.301841626310533e-10,2.8232041169060394e-09,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
hierarchy_conflict,Full,defined,11,3.0161760751924307,1.8921554101325456e-09,2.2887478756672407e-08,0.0,0.13531233351533442,0.016946083197303227,3.388376512702962e-08,0,0.0,1.2750000000000057,5.297378358750912,-0.9808456208877772,0.09826362493913621,0.02513480062660359,0.04430443948219279,1.5645578314386436e-10,1.62910559116843e-11,1.5767961751104547e-11,0.0,0.0,0.0,,,,,,,,
hierarchy_conflict,RelativeWidth,defined,11,3.0161760751924307,1.8921554101325456e-09,2.2887478756672407e-08,0.0,0.13531233351533442,0.016946083197303227,3.388376512702962e-08,0,0.0,1.2750000000000057,5.297378358750912,-0.9808456208877772,0.12648645893204957,0.02513480062660359,0.04430443948219279,1.5645578314386436e-10,1.62910559116843e-11,1.5767961751104547e-11,0.0,0.0,0.0,,,,,,,,
