scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
hierarchy_change_seed1,TMTM,initial_y_oracle,0.12820400416840919,0.1184882881766757,0.12938522009237552,0.05480155782400028,0.2379361959468998,0.23788431650498693,0.0075130001095183585,0.004390030860121812,0.061688432508154645,1.7556940816550162,74,0,80,0.12
hierarchy_change_seed1,ST-MTM,initial_y_oracle,0.09163375785223958,0.08175831873840814,0.07783149629516105,0.05480155782400028,0.1576164365217107,0.23788431650498693,0.00741136897765877,0.005312355008467674,0.07204056920148458,1.8764213228532385,74,9,80,0.12
hierarchy_change_seed1,X-only RA-MTM,initial_y_oracle,0.06805013589093134,0.04161371333391039,0.007910053412023174,0.05480155782400028,0.008516943496922776,0.23788431650498693,0.004116222132746774,0.003437788295576398,0.04070519937530335,0.9663578396729575,74,2,80,0.12
hierarchy_change_seed1,Dual-Reference RA-MTM,dual_native,0.07757393471978274,0.06389367780872873,0.007910053412023174,0.08972512039924223,0.008516943496922776,0.2218732587400806,0.011949027515218723,0.009731771242046161,0.05560280853794415,1.1205317591034867,74,0,80,0.12
hierarchy_change_seed2,TMTM,initial_y_oracle,0.23609190536237248,0.2287297674221852,0.30489852459266686,0.05463592332092466,0.4375542714797278,0.2374977693281281,0.0123224023553822,0.010381249071939633,0.13498406236988733,1.6784595221277454,76,4,80,0.12
hierarchy_change_seed2,ST-MTM,initial_y_oracle,0.09057338435674685,0.08242503878839451,0.07548507308910718,0.05463592332092466,0.14755517304535293,0.2374977693281281,0.00783086008646737,0.006401988238114824,0.0867381277668913,1.2910565112183965,76,7,80,0.12
hierarchy_change_seed2,X-only RA-MTM,initial_y_oracle,0.07005601644180538,0.04552247526722396,0.01336661645036181,0.05463592332092466,0.0469520778805561,0.2374977693281281,0.006289057456185991,0.005613698825709947,0.07589552429359236,1.0413131228723171,76,4,80,0.12
hierarchy_change_seed2,Dual-Reference RA-MTM,dual_native,0.06245741958466579,0.05060092608111641,0.01336661645036181,0.06757948946380066,0.0469520778805561,0.18535845139228135,0.01796599374919848,0.016186749276455883,0.07730179245693687,0.9385718774503592,76,0,80,0.12
hierarchy_change_seed3,TMTM,initial_y_oracle,0.1257631212301859,0.11666952545022899,0.12953187934774818,0.05405809408567038,0.21814332951251025,0.23718817048324478,0.010946388932087487,0.00816997524001783,0.1099356590267427,1.7657945551391858,76,3,80,0.12
hierarchy_change_seed3,ST-MTM,initial_y_oracle,0.09148397852712394,0.0832551869465551,0.076586940831121,0.05405809408567038,0.15717300158599562,0.23718817048324478,0.008005904133269083,0.00664815205856249,0.08785544659849712,1.4251642561353852,76,12,80,0.12
hierarchy_change_seed3,X-only RA-MTM,initial_y_oracle,0.06901141988702526,0.04347282853947242,0.010812086337259923,0.05405809408567038,0.008568146824779996,0.23718817048324478,0.006458783564836379,0.005671418413222099,0.0816799029418315,0.9925171311136178,76,4,80,0.12
hierarchy_change_seed3,Dual-Reference RA-MTM,dual_native,0.06838980945189836,0.054841164066861584,0.010812086337259923,0.07495478338190192,0.008568146824779996,0.20508392600505446,0.018603851006576223,0.01664985048471051,0.08712680418096756,0.9835380324447126,76,0,80,0.12
