scene,t,axis,tau,budget,achieved,global_gap
growth,13,x,0.0,1.0,1.0,9.070824766865826e-05
growth,14,x,0.0,1.0,1.0,9.877254427692606e-05
growth,15,x,0.0,1.0,1.0,0.00011092284213987114
growth,16,x,0.0,1.0,1.0,0.00012268032813267382
growth,17,x,0.0,1.0,1.0,0.00012845515993831214
growth,18,x,0.0,1.0,1.0,0.00013437026515816797
growth,19,x,0.0,1.0,1.0,0.00013470836609030812
growth,20,x,0.0,1.0,1.0,0.00014056413931484713
growth,0,y,0.0,1.0,1.0,1.3786652630187746e-05
growth,1,y,0.0,1.0,1.0,1.4867079585201282e-05
growth,2,y,0.0,1.0,1.0,1.3747408729614108e-05
growth,3,y,0.0,1.0,1.0,1.1864707516906492e-05
growth,4,y,0.0,1.0,1.0,1.207271498060436e-05
growth,5,y,0.0,1.0,1.0,1.4238873063732171e-05
growth,6,y,0.0,1.0,1.0,1.4807079253387201e-05
growth,7,y,0.0,1.0,1.0,1.3511305041902233e-05
growth,8,y,0.0,1.0,1.0,1.442206269075541e-05
growth,9,y,0.0,1.0,1.0,1.6078947396636067e-05
growth,10,y,0.0,1.0,1.0,1.4360050613504427e-05
growth,11,y,0.0,1.0,1.0,1.6874582911441394e-05
growth,12,y,0.0,1.0,1.0,1.6515945389983244e-05
growth,13,y,0.0,1.0,1.0,1.4616244925491628e-05
growth,14,y,0.0,1.0,1.0,1.3923060691922728e-05
growth,15,y,0.05941735692771033,1.0594173569277103,1.0594173569277103,1.4564874504685577e-05
growth,16,y,0.17201404492234929,1.1720140449223493,1.1720140449223493,1.602138092948735e-05
growth,17,y,0.1285426525783251,1.128542652578325,1.128542652578325,1.6209447721848846e-05
growth,18,y,0.0428135741187603,1.0428135741187603,1.0428135741187674,1.625264474114374e-05
growth,19,y,0.012452407450794567,1.0124524074507946,1.0124524074507946,1.6004916687961668e-05
growth,20,y,0.0034913331488226618,1.0034913331488227,1.0034913331488227,1.6509152146682027e-05
translation_growth,0,x,0.0,1.0,1.0,3.0352772085961988e-05
translation_growth,1,x,0.0,1.0,1.0,3.195368404362853e-05
translation_growth,2,x,0.0,1.0,1.0,4.0490127062753345e-05
translation_growth,3,x,0.0,1.0,1.0,4.298974275229739e-05
translation_growth,4,x,0.0,1.0,1.0,4.462610414179835e-05
translation_growth,5,x,0.0,1.0,1.0,4.592934890013112e-05
translation_growth,6,x,0.0,1.0,1.0,5.7572687779838816e-05
translation_growth,7,x,0.0,1.0,1.0,6.232719736942727e-05
