scene,method,calibration,t,feature,q,x,reference_error,initial_error,cumulative_motion_error
translation_growth,TMTM,first_frame_affine,17,0,30.388283378746593,21.727554229419155,-8.660729149327437,4.737716755322939,-13.398445904650377
translation_growth,TMTM,first_frame_affine,17,1,68.5,51.689919173533355,-16.810080826466645,-7.521125349075234,-9.288955477391411
translation_growth,TMTM,first_frame_affine,17,2,94.306640625,98.8422306721234,4.5355900471234065,2.783408593752256,1.7521814533711506
translation_growth,TMTM,first_frame_affine,18,0,30.553523936170212,20.959288461621355,-9.594235474548857,4.737716755322939,-14.331952229871796
translation_growth,TMTM,first_frame_affine,18,1,69.20588235294117,51.40181951060919,-17.804062842331987,-7.521125349075234,-10.282937493256753
translation_growth,TMTM,first_frame_affine,18,2,95.17433234421365,100.57082864966847,5.396496305454818,2.783408593752256,2.613087711702562
translation_growth,TMTM,first_frame_affine,19,0,30.9375,20.191022693823555,-10.746477306176445,4.737716755322939,-15.484194061499384
translation_growth,TMTM,first_frame_affine,19,1,69.89466292134831,51.97801883645755,-17.916644084890763,-7.521125349075234,-10.395518735815529
translation_growth,TMTM,first_frame_affine,19,2,96.03429203539822,101.53116085941568,5.496868824017454,2.783408593752256,2.7134602302651984
translation_growth,TMTM,first_frame_affine,20,0,31.03102189781022,18.84655760017739,-12.184464297632829,4.737716755322939,-16.922181052955768
translation_growth,TMTM,first_frame_affine,20,1,70.58552631578948,52.36215172035645,-18.22337459543303,-7.521125349075234,-10.702249246357795
translation_growth,TMTM,first_frame_affine,20,2,97.05255681818181,103.35579205793547,6.303235239753661,2.783408593752256,3.5198266460014054
translation_growth,ST-MTM,native,0,0,27.361425339366516,23.756440782422615,-3.6049845569439007,-3.6049845569439007,0.0
translation_growth,ST-MTM,native,0,1,57.67451298701299,52.95244361209507,-4.722069374917922,-4.722069374917922,0.0
translation_growth,ST-MTM,native,0,2,78.10060975609755,86.4276636879594,8.32705393186184,8.32705393186184,0.0
translation_growth,ST-MTM,native,1,0,27.62079831932773,23.217904177157028,-4.402894142170702,-3.6049845569439007,-0.797909585226801
translation_growth,ST-MTM,native,1,1,58.5234375,52.947302547286576,-5.576134952713424,-4.722069374917922,-0.8540655777955024
translation_growth,ST-MTM,native,1,2,79.30889423076923,86.97134135803346,7.66244712726423,8.32705393186184,-0.6646068045976108
translation_growth,ST-MTM,native,2,0,27.636186770428015,22.77330781399196,-4.862878956436056,-3.6049845569439007,-1.2578943994921552
translation_growth,ST-MTM,native,2,1,59.0625,52.95154655202462,-6.110953447975383,-4.722069374917922,-1.3888840730574614
translation_growth,ST-MTM,native,2,2,79.92613636363636,87.41169371646048,7.485557352824117,8.32705393186184,-0.8414965790377238
translation_growth,ST-MTM,native,3,0,27.629310344827587,22.280891596259494,-5.348418748568093,-3.6049845569439007,-1.7434341916241927
translation_growth,ST-MTM,native,3,1,59.62923728813559,52.95058590787809,-6.678651380257499,-4.722069374917922,-1.9565820053395768
translation_growth,ST-MTM,native,3,2,80.89285714285714,87.90507057833948,7.012213435482337,8.32705393186184,-1.314840496379503
translation_growth,ST-MTM,native,4,0,27.921511627906977,21.78674493842893,-6.134766689478045,-3.6049845569439007,-2.5297821325341445
translation_growth,ST-MTM,native,4,1,60.30894886363637,52.885667700784765,-7.423281162851602,-4.722069374917922,-2.70121178793368
translation_growth,ST-MTM,native,4,2,82.16720779220779,88.46413544326339,6.296927651055597,8.32705393186184,-2.0301262808062432
translation_growth,ST-MTM,native,5,0,28.21768060836502,21.426316884312296,-6.791363724052722,-3.6049845569439007,-3.1863791671088215
translation_growth,ST-MTM,native,5,1,60.858050847457626,52.830222437563414,-8.027828409894212,-4.722069374917922,-3.3057590349762904
translation_growth,ST-MTM,native,5,2,82.76107594936708,88.88000876060137,6.118932811234288,8.32705393186184,-2.2081211206275526
translation_growth,ST-MTM,native,6,0,28.401315789473685,20.981321065177077,-7.419994724296608,-3.6049845569439007,-3.815010167352707
translation_growth,ST-MTM,native,6,1,61.54934210526316,52.873925168781874,-8.675416936481284,-4.722069374917922,-3.953347561563362
translation_growth,ST-MTM,native,6,2,83.7399193548387,89.28130184851813,5.541382493679421,8.32705393186184,-2.785671438182419
translation_growth,ST-MTM,native,7,0,28.45218120805369,20.41438766784716,-8.037793540206533,-3.6049845569439007,-4.432808983262632
translation_growth,ST-MTM,native,7,1,62.29779411764706,52.93929325027132,-9.358500867375739,-4.722069374917922,-4.636431492457817
translation_growth,ST-MTM,native,7,2,84.76058467741936,89.78286716435858,5.022282486939218,8.32705393186184,-3.304771444922622
translation_growth,ST-MTM,native,8,0,28.70291095890411,20.03085012424646,-8.67206083465765,-3.6049845569439007,-5.067076277713749
translation_growth,ST-MTM,native,8,1,62.8125,52.83024998765339,-9.982250012346611,-4.722069374917922,-5.2601806374286895
translation_growth,ST-MTM,native,8,2,85.56225868725869,90.2754479705772,4.713189283318513,8.32705393186184,-3.613864648543327
translation_growth,ST-MTM,native,9,0,28.88651877133106,19.512170976127866,-9.374347795203192,-3.6049845569439007,-5.769363238259292
translation_growth,ST-MTM,native,9,1,63.390151515151516,52.70350434060941,-10.686647174542102,-4.722069374917922,-5.96457779962418
translation_growth,ST-MTM,native,9,2,86.79389312977099,90.92087276573977,4.12697963596878,8.32705393186184,-4.20007429589306
translation_growth,ST-MTM,native,10,0,29.23076923076923,19.094931106881727,-10.135838123887503,-3.6049845569439007,-6.530853566943602
translation_growth,ST-MTM,native,10,1,64.28571428571429,52.78801827952304,-11.497696006191255,-4.722069374917922,-6.775626631273333
translation_growth,ST-MTM,native,10,2,87.61488970588235,91.25359869607229,3.63870899018994,8.32705393186184,-4.6883449416719
translation_growth,ST-MTM,native,11,0,29.0625,18.541507174045694,-10.520992825954306,-3.6049845569439007,-6.916008269010405
translation_growth,ST-MTM,native,11,1,64.88810043668123,52.943357291795415,-11.944743144885813,-4.722069374917922,-7.222673769967891
translation_growth,ST-MTM,native,11,2,88.3899456521739,91.65168361663594,3.2617379644620286,8.32705393186184,-5.065315967399812
translation_growth,ST-MTM,native,12,0,29.35030395136778,18.044699954102565,-11.305603997265216,-3.6049845569439007,-7.700619440321315
translation_growth,ST-MTM,native,12,1,65.46052631578948,52.74639629183225,-12.714130023957232,-4.722069374917922,-7.99206064903931
translation_growth,ST-MTM,native,12,2,89.68641114982579,92.34545183654224,2.6590406867164518,8.32705393186184,-5.668013245145389
translation_growth,ST-MTM,native,13,0,29.666411042944784,17.787720215430795,-11.878690827513989,-3.6049845569439007,-8.273706270570088
translation_growth,ST-MTM,native,13,1,65.97813901345292,52.73326480350831,-13.244874209944605,-4.722069374917922,-8.522804835026683
translation_growth,ST-MTM,native,13,2,90.16810344827586,92.61556306353793,2.4474596152620762,8.32705393186184,-5.879594316599764
translation_growth,ST-MTM,native,14,0,29.891304347826086,17.257617186954796,-12.63368716087129,-3.6049845569439007,-9.028702603927389
translation_growth,ST-MTM,native,14,1,66.73853711790393,52.78153218477567,-13.95700493312826,-4.722069374917922,-9.234935558210339
translation_growth,ST-MTM,native,14,2,91.4217715231788,93.09739871074659,1.675627187567784,8.32705393186184,-6.6514267442940564
translation_growth,ST-MTM,native,15,0,30.125,16.846018439378604,-13.278981560621396,-3.6049845569439007,-9.673997003677496
translation_growth,ST-MTM,native,15,1,67.394578313253,52.71205908180244,-14.68251923145057,-4.722069374917922,-9.960449856532648
translation_growth,ST-MTM,native,15,2,92.22426470588235,93.57847056129603,1.3542058554136815,8.32705393186184,-6.972848076448159
translation_growth,ST-MTM,native,16,0,30.147357723577237,16.286477393169854,-13.860880330407383,-3.6049845569439007,-10.255895773463482
translation_growth,ST-MTM,native,16,1,68.06617647058823,52.711505403373145,-15.354671067215087,-4.722069374917922,-10.632601692297165
translation_growth,ST-MTM,native,16,2,93.29296875,94.13856528593406,0.8455965359340638,8.32705393186184,-7.481457395927777
translation_growth,ST-MTM,native,17,0,30.388283378746593,15.883657462230259,-14.504625916516334,-3.6049845569439007,-10.899641359572433
translation_growth,ST-MTM,native,17,1,68.5,52.58623239496541,-15.913767605034593,-4.722069374917922,-11.191698230116671
translation_growth,ST-MTM,native,17,2,94.306640625,94.6666582252814,0.3600176002813953,8.32705393186184,-7.967036331580445
translation_growth,ST-MTM,native,18,0,30.553523936170212,15.385996596916904,-15.167527339253308,-3.6049845569439007,-11.562542782309407
translation_growth,ST-MTM,native,18,1,69.20588235294117,52.55426025482274,-16.65162209811843,-4.722069374917922,-11.929552723200509
