t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
20,"(3, 5, 1, 2, 4, 0)",3.5014147867021085e-16,1.1379598056781852e-15,11502.489164171893,0.2096543817283765
20,"(3, 5, 1, 4, 2, 0)",3.5014147867021085e-16,3.0589900151341016e-16,9938.298037714776,0.18114407245168096
20,"(4, 2, 0, 1, 3, 5)",1.225495175345738e-15,4.3767684833776355e-16,10490.706851352397,0.19121275642360272
20,"(4, 2, 0, 1, 5, 3)",4.900698505388903e-16,5.252122180053163e-16,10426.238898166546,0.19003770738216802
20,"(4, 2, 0, 3, 5, 1)",5.2427569992540955e-16,1.1379598056781852e-15,12339.920594301513,0.22491813605301492
20,"(4, 2, 0, 5, 3, 1)",3.5014147867021085e-16,6.12747587672869e-16,11084.245275430829,0.2020311044834122
20,"(5, 3, 1, 0, 2, 4)",8.315860118417508e-16,3.1167305933335597e-16,10490.706851352397,0.19121275642360272
20,"(5, 3, 1, 0, 4, 2)",1.362242015889647e-16,3.5014147867021085e-16,10493.51364758777,0.1912639155354233
20,"(5, 3, 1, 2, 4, 0)",4.731101617737975e-16,3.7174127514189204e-16,11566.957117357742,0.2108294307698112
20,"(5, 3, 1, 4, 2, 0)",3.5014147867021085e-16,3.1167305933335587e-16,10002.765990900625,0.18231912149311566
21,"(0, 2, 3, 1, 4)",3.704082432032603e-16,1.6142144379590663e-16,7615.683320095242,0.20267234837114131
21,"(0, 2, 3, 4, 1)",1.6935572367929983e-16,1.8475893962263716e-16,8361.109731297787,0.22251000639161725
21,"(1, 4, 0, 2, 3)",9.064082681276535e-17,5.556123648048904e-16,7733.875882027831,0.2058177475533357
21,"(1, 4, 2, 0, 3)",3.704082432032603e-16,5.556123648048904e-16,9635.863250004237,0.2564343803934738
21,"(1, 4, 3, 0, 2)",5.556123648048904e-16,1.5396578301886427e-16,8389.351112257562,0.2232615800534656
21,"(1, 4, 3, 2, 0)",4.1409163075326005e-16,7.87117516806928e-16,8361.109731297787,0.2225100063916172
